composer_id,name,complete_name,birth,death,epoch,recommended,popular
189,Stenhammar,Wilhelm Stenhammar,1871-01-01,1927-01-01,Late Romantic,,0
190,Stockhausen,Karlheinz Stockhausen,1928-01-01,2007-01-01,Post-War,,0
191,Strauss,Richard Strauss,1864-01-01,1949-01-01,Late Romantic,,0
192,Strauss Jr,Johann Strauss Jr,1825-01-01,1899-01-01,Romantic,,1
193,Stravinsky,Igor Stravinsky,1882-01-01,1971-01-01,20th Century,1.0,1
194,Suk,Josef Suk,1874-01-01,1935-01-01,Late Romantic,,0
195,Sweelinck,Jan Pieterszoon Sweelinck,1562-01-01,1621-01-01,Renaissance,,0
196,Szymanowski,Karol Szymanowski,1882-01-01,1937-01-01,Late Romantic,,0
197,Takemitsu,Toru Takemitsu,1930-01-01,1996-01-01,Post-War,,0
198,Tallis,Thomas Tallis,1505-01-01,1585-01-01,Renaissance,,0
199,Tartini,Giuseppe Tartini,1692-01-01,1770-01-01,Baroque,,0
200,Taverner,John Taverner,1490-01-01,1545-01-01,Renaissance,,0
201,Tchaikovsky,Pyotr Ilyich Tchaikovsky,1840-01-01,1893-01-01,Romantic,1.0,1
202,Telemann,Georg Philipp Telemann,1681-01-01,1767-01-01,Baroque,,0
203,Tippett,Michael Tippett,1905-01-01,1998-01-01,20th Century,,0
204,Varèse,Edgard Varèse,1883-01-01,1965-01-01,20th Century,,0
205,Vaughan Williams,Ralph Vaughan Williams,1872-01-01,1958-01-01,Late Romantic,,0
206,Verdi,Giuseppe Verdi,1813-01-01,1901-01-01,Romantic,1.0,1
207,Victoria,Tomás Luis de Victoria,1549-01-01,1611-01-01,Renaissance,,0
208,Villa-Lobos,Heitor Villa-Lobos,1887-01-01,1959-01-01,20th Century,1.0,0
209,Vivaldi,Antonio Vivaldi,1678-01-01,1741-01-01,Baroque,1.0,1
210,Wagner,Richard Wagner,1813-01-01,1883-01-01,Romantic,1.0,1
211,Walton,William Walton,1902-01-01,1983-01-01,20th Century,,0
212,Weber,Carl Maria von Weber,1786-01-01,1826-01-01,Early Romantic,,0
213,Webern,Anton Webern,1883-01-01,1945-01-01,20th Century,1.0,0
214,Weill,Kurt Weill,1900-01-01,1950-01-01,20th Century,,0
215,Widor,Charles-Marie Widor,1844-01-01,1937-01-01,Romantic,,0
216,Wolf,Hugo Wolf,1860-01-01,1903-01-01,Romantic,,0
217,Xenakis,Iannis Xenakis,1922-01-01,2001-01-01,Post-War,,0
218,Ysaÿe,Eugene Ysaÿe,1858-01-01,1931-01-01,Late Romantic,,0
219,Zemlinsky,Alexander von Zemlinsky,1871-01-01,1942-01-01,Late Romantic,,0
